"","Census_Tract_ID","On_","Off_"
"1",42045404400,121,54
"2",42045404500,51,128
"3",42045404600,33.5,37
"4",42045404700,106,125
"5",42045404800,66.5,61
"6",42045404900,9,23
"7",42045405000,911.5,816
"8",42045405100,66,60
"9",42045405200,81,92.5
"10",42045405300,57.5,88
"11",42045405400,90,53.5
"12",42045407101,1.5,2.5
